# x_a f_a(xa) f_a_ohne(xa)
265330 3.74894e-09 3.65838e-09
266320 3.40722e-09 3.638e-09
267310 3.66074e-09 3.61781e-09
268300 3.65708e-09 3.59781e-09
269290 3.67959e-09 3.57798e-09
270280 3.47055e-09 3.55834e-09
271270 3.40484e-09 3.53888e-09
272260 3.37008e-09 3.5196e-09
273250 3.68183e-09 3.50049e-09
274240 3.42493e-09 3.48155e-09
275230 3.62371e-09 3.46278e-09
276220 3.44696e-09 3.44418e-09
277210 3.3765e-09 3.42575e-09
278200 3.39554e-09 3.40748e-09
279190 3.34538e-09 3.38937e-09
280180 3.38304e-09 3.37142e-09
281170 3.35498e-09 3.35363e-09
282160 3.3788e-09 3.336e-09
283150 3.37266e-09 3.31852e-09
284140 3.35172e-09 3.30119e-09
285130 3.36399e-09 3.28401e-09
286120 3.37602e-09 3.26698e-09
287110 3.24229e-09 3.2501e-09
288100 3.16578e-09 3.23336e-09
289090 3.12139e-09 3.21676e-09
290080 3.29953e-09 3.20031e-09
291070 3.37104e-09 3.184e-09
292060 3.20597e-09 3.16782e-09
293050 3.16243e-09 3.15178e-09
294040 3.20982e-09 3.13588e-09
295030 3.22916e-09 3.12011e-09
296020 3.02452e-09 3.10447e-09
297010 3.07341e-09 3.08896e-09
298000 3.08808e-09 3.07358e-09
298990 3.06363e-09 3.05833e-09
299980 3.09551e-09 3.0432e-09
300970 3.08381e-09 3.0282e-09
301960 3.09025e-09 3.01332e-09
302950 2.97473e-09 2.99856e-09
303940 3.02273e-09 2.98392e-09
304930 2.75361e-09 2.9694e-09
305920 2.97064e-09 2.955e-09
306910 2.96814e-09 2.94071e-09
307900 2.79726e-09 2.92654e-09
308890 2.92358e-09 2.91248e-09
309880 2.85439e-09 2.89854e-09
310870 2.8312e-09 2.8847e-09
311860 2.77953e-09 2.87098e-09
312850 2.73869e-09 2.85736e-09
313840 2.81943e-09 2.84385e-09
314830 2.84422e-09 2.83045e-09
315820 2.7195e-09 2.81715e-09
316810 2.83848e-09 2.80395e-09
317800 2.91584e-09 2.79086e-09
318790 2.68801e-09 2.77787e-09
319780 2.7469e-09 2.76498e-09
320770 2.73405e-09 2.75219e-09
321760 2.78348e-09 2.7395e-09
322750 2.68506e-09 2.7269e-09
323740 2.69017e-09 2.7144e-09
324730 2.49383e-09 2.702e-09
325720 2.67613e-09 2.68969e-09
326710 2.65922e-09 2.67747e-09
327700 2.67056e-09 2.66535e-09
328690 2.60283e-09 2.65332e-09
329680 2.6983e-09 2.64138e-09
330670 2.61323e-09 2.62952e-09
331660 2.70182e-09 2.61776e-09
332650 2.50725e-09 2.60608e-09
333640 2.71578e-09 2.59449e-09
334630 2.50122e-09 2.58298e-09
335620 2.67778e-09 2.57156e-09
336610 2.55443e-09 2.56023e-09
337600 2.54013e-09 2.54897e-09
338590 2.71871e-09 2.5378e-09
339580 2.47016e-09 2.52671e-09
340570 2.44401e-09 2.5157e-09
341560 2.39993e-09 2.50477e-09
342550 2.40362e-09 2.49392e-09
343540 2.35651e-09 2.48315e-09
344530 2.49084e-09 2.47246e-09
345520 2.53431e-09 2.46184e-09
346510 2.45623e-09 2.45129e-09
347500 2.38614e-09 2.44083e-09
348490 2.41016e-09 2.43043e-09
349480 2.42994e-09 2.42011e-09
350470 2.43335e-09 2.40987e-09
351460 2.44751e-09 2.39969e-09
352450 2.43239e-09 2.38959e-09
353440 2.39757e-09 2.37955e-09
354430 2.39436e-09 2.36959e-09
355420 2.35116e-09 2.3597e-09
356410 2.34292e-09 2.34987e-09
357400 2.17943e-09 2.34012e-09
358390 2.36729e-09 2.33043e-09
359380 2.39324e-09 2.3208e-09
360370 2.25205e-09 2.31125e-09
361360 2.18424e-09 2.30175e-09
362350 2.2286e-09 2.29233e-09
363340 2.13601e-09 2.28297e-09
364330 2.12219e-09 2.27367e-09
365320 2.2107e-09 2.26443e-09
366310 2.2514e-09 2.25526e-09
367300 2.21981e-09 2.24614e-09
368290 2.13549e-09 2.23709e-09
369280 2.13828e-09 2.2281e-09
370270 2.27882e-09 2.21917e-09
371260 2.33479e-09 2.2103e-09
372250 2.1833e-09 2.20149e-09
373240 2.29366e-09 2.19274e-09
374230 2.22896e-09 2.18404e-09
375220 2.14641e-09 2.17541e-09
376210 2.11816e-09 2.16682e-09
377200 2.11332e-09 2.1583e-09
378190 2.09081e-09 2.14983e-09
379180 2.16156e-09 2.14142e-09
380170 1.91909e-09 2.13306e-09
381160 2.19055e-09 2.12475e-09
382150 2.11028e-09 2.1165e-09
383140 2.10161e-09 2.1083e-09
384130 2.26146e-09 2.10016e-09
385120 2.16897e-09 2.09206e-09
386110 2.08414e-09 2.08402e-09
387100 2.34229e-09 2.07603e-09
388090 1.98446e-09 2.0681e-09
389080 2.04284e-09 2.06021e-09
390070 2.15675e-09 2.05237e-09
391060 2.1256e-09 2.04458e-09
392050 2.05391e-09 2.03684e-09
393040 2.12373e-09 2.02915e-09
394030 2.12174e-09 2.02151e-09
395020 1.86856e-09 2.01391e-09
396010 2.10676e-09 2.00637e-09
397000 2.12525e-09 1.99886e-09
397990 2.03393e-09 1.99141e-09
398980 2.07319e-09 1.984e-09
399970 1.90676e-09 1.97664e-09
400960 2.08513e-09 1.96933e-09
401950 2.02658e-09 1.96205e-09
402940 1.96025e-09 1.95483e-09
403930 1.81956e-09 1.94765e-09
404920 1.94268e-09 1.94051e-09
405910 1.83192e-09 1.93341e-09
406900 1.83985e-09 1.92636e-09
407890 2.03551e-09 1.91935e-09
408880 1.90846e-09 1.91239e-09
409870 2.08985e-09 1.90546e-09
410860 1.90971e-09 1.89858e-09
411850 1.92745e-09 1.89174e-09
412840 1.90812e-09 1.88494e-09
