# x_b f_b(xb) f_b_ohne(xb)
3.2885e-05 0 1.64425e-05
3.3084e-05 0 1.6542e-05
3.3283e-05 0 1.66415e-05
3.3482e-05 0 1.6741e-05
3.3681e-05 0 1.68405e-05
3.388e-05 0 1.694e-05
3.4079e-05 0 1.70395e-05
3.4278e-05 0 1.7139e-05
3.4477e-05 0 1.72385e-05
3.4676e-05 0 1.7338e-05
3.4875e-05 0 1.74375e-05
3.5074e-05 0 1.7537e-05
3.5273e-05 0 1.76365e-05
3.5472e-05 0 1.7736e-05
3.5671e-05 0 1.78355e-05
3.587e-05 0 1.7935e-05
3.6069e-05 0 1.80345e-05
3.6268e-05 0 1.8134e-05
3.6467e-05 0 1.82335e-05
3.6666e-05 0 1.8333e-05
3.6865e-05 0 1.84325e-05
3.7064e-05 0 1.8532e-05
3.7263e-05 0 1.86315e-05
3.7462e-05 0 1.8731e-05
3.7661e-05 0 1.88305e-05
3.786e-05 0 1.893e-05
3.8059e-05 0 1.90295e-05
3.8258e-05 0 1.9129e-05
3.8457e-05 0 1.92285e-05
3.8656e-05 0 1.9328e-05
3.8855e-05 0 1.94275e-05
3.9054e-05 0 1.9527e-05
3.9253e-05 0 1.96265e-05
3.9452e-05 0 1.9726e-05
3.9651e-05 0 1.98255e-05
3.985e-05 0 1.9925e-05
4.0049e-05 0 2.00245e-05
4.0248e-05 0 2.0124e-05
4.0447e-05 0 2.02235e-05
4.0646e-05 0 2.0323e-05
4.0845e-05 0 2.04225e-05
4.1044e-05 0 2.0522e-05
4.1243e-05 0 2.06215e-05
4.1442e-05 0 2.0721e-05
4.1641e-05 0 2.08205e-05
4.184e-05 0 2.092e-05
4.2039e-05 0 2.10195e-05
4.2238e-05 0 2.1119e-05
4.2437e-05 0 2.12185e-05
4.2636e-05 0 2.1318e-05
4.2835e-05 0 2.14175e-05
4.3034e-05 0 2.1517e-05
4.3233e-05 0 2.16165e-05
4.3432e-05 0 2.1716e-05
4.3631e-05 0 2.18155e-05
4.383e-05 0 2.1915e-05
4.4029e-05 0 2.20145e-05
4.4228e-05 0 2.2114e-05
4.4427e-05 0 2.22135e-05
